time,open,high,low,close,tick_volume,spread,real_volume
2026-06-24 15:25:00+00:00,1.13379,1.13385,1.13369,1.13371,134,13,0
2026-06-24 15:26:00+00:00,1.1337,1.1338300000000001,1.13369,1.13375,107,13,0
2026-06-24 15:27:00+00:00,1.13375,1.1338,1.13369,1.13375,76,13,0
2026-06-24 15:28:00+00:00,1.13375,1.13386,1.13372,1.13385,66,13,0
2026-06-24 15:29:00+00:00,1.13385,1.13389,1.13375,1.13378,81,13,0
2026-06-24 15:30:00+00:00,1.13379,1.13379,1.13369,1.13372,88,13,0
2026-06-24 15:31:00+00:00,1.13372,1.13385,1.13365,1.13366,77,13,0
2026-06-24 15:32:00+00:00,1.13365,1.13367,1.133,1.13323,169,13,0
2026-06-24 15:33:00+00:00,1.13323,1.13334,1.13308,1.13308,143,13,0
2026-06-24 15:34:00+00:00,1.13308,1.13317,1.1329799999999999,1.13316,98,13,0
2026-06-24 15:35:00+00:00,1.13316,1.13328,1.13313,1.13319,114,13,0
2026-06-24 15:36:00+00:00,1.13319,1.13337,1.13314,1.13321,162,13,0
2026-06-24 15:37:00+00:00,1.1332,1.13329,1.13317,1.1332200000000001,131,13,0
2026-06-24 15:38:00+00:00,1.13321,1.13335,1.13309,1.13312,109,13,0
2026-06-24 15:39:00+00:00,1.13312,1.13314,1.13294,1.13302,122,13,0
2026-06-24 15:40:00+00:00,1.13301,1.13308,1.1327099999999999,1.1327099999999999,105,13,0
2026-06-24 15:41:00+00:00,1.1327,1.13272,1.13247,1.13252,173,13,0
2026-06-24 15:42:00+00:00,1.13253,1.13275,1.13251,1.13275,102,13,0
2026-06-24 15:43:00+00:00,1.13275,1.13305,1.13275,1.13291,132,13,0
2026-06-24 15:44:00+00:00,1.13288,1.13309,1.13283,1.13297,123,13,0
2026-06-24 15:45:00+00:00,1.13296,1.1332200000000001,1.13296,1.13305,88,13,0
2026-06-24 15:46:00+00:00,1.13305,1.13308,1.13274,1.1328,121,13,0
2026-06-24 15:47:00+00:00,1.1328,1.13285,1.13263,1.13284,113,13,0
2026-06-24 15:48:00+00:00,1.13284,1.13296,1.13284,1.13286,94,13,0
2026-06-24 15:49:00+00:00,1.13286,1.13299,1.13264,1.13276,105,13,0
2026-06-24 15:50:00+00:00,1.13276,1.1328,1.13262,1.13263,115,13,0
2026-06-24 15:51:00+00:00,1.13264,1.13266,1.13259,1.1326,92,13,0
2026-06-24 15:52:00+00:00,1.1326,1.13279,1.13257,1.13269,118,13,0
2026-06-24 15:53:00+00:00,1.13268,1.13277,1.13268,1.13276,115,13,0
2026-06-24 15:54:00+00:00,1.13277,1.13285,1.13272,1.13272,82,13,0
2026-06-24 15:55:00+00:00,1.13273,1.13283,1.13267,1.13268,121,13,0
2026-06-24 15:56:00+00:00,1.13267,1.13281,1.13267,1.13278,80,13,0
2026-06-24 15:57:00+00:00,1.13277,1.13296,1.13277,1.13291,122,13,0
2026-06-24 15:58:00+00:00,1.13292,1.1329500000000001,1.13279,1.13279,127,13,0
2026-06-24 15:59:00+00:00,1.13279,1.13285,1.13268,1.13284,102,13,0
2026-06-24 16:00:00+00:00,1.13284,1.13296,1.13276,1.13281,185,13,0
2026-06-24 16:01:00+00:00,1.13281,1.13281,1.13259,1.13262,158,13,0
2026-06-24 16:02:00+00:00,1.13262,1.13282,1.1326,1.13272,152,13,0
2026-06-24 16:03:00+00:00,1.13272,1.13313,1.13272,1.13309,125,13,0
2026-06-24 16:04:00+00:00,1.13308,1.13308,1.13279,1.13279,128,13,0
2026-06-24 16:05:00+00:00,1.13279,1.13291,1.13274,1.13279,120,13,0
2026-06-24 16:06:00+00:00,1.1328,1.1328,1.13255,1.1326100000000001,137,13,0
2026-06-24 16:07:00+00:00,1.13262,1.13272,1.13246,1.13254,123,13,0
2026-06-24 16:08:00+00:00,1.13254,1.13265,1.13249,1.13255,139,13,0
2026-06-24 16:09:00+00:00,1.13256,1.1326,1.13239,1.13254,143,13,0
2026-06-24 16:10:00+00:00,1.13255,1.1326,1.1325,1.13255,114,13,0
